text,label,label_confidence,hate_speech,offensive_language,neither
<exclaim> rt <user>: as a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...,2,1.0,0,0,3
<exclaim> rt <user>: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place <exclaim>,1,1.0,0,3,0
<exclaim> rt <user> dawg <exclaim> rt <user>: you ever fuck a bitch and she start to cry? you be confused as shit,1,1.0,0,3,0
"<exclaim> ""<user>: i can not just sit up and hate on another bitch .. i got too much shit going on!""",1,1.0,0,3,0
<exclaim> “<user>: cause i'm tired of you big bitches coming for us skinny girls <exclaim> ”,1,1.0,0,3,0
""" & you might not get ya bitch back & thats that """,1,1.0,0,3,0
""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh",1,1.0,0,3,0
""" murda gang bitch its gang land """,1,1.0,0,3,0
""" bad bitches is the only thing that i like """,1,1.0,0,3,0
""" bitch nigga miss me with it """,1,1.0,0,3,0
""" bitch plz whatever """,1,1.0,0,3,0
""" bitches get cut off everyday b """,1,1.0,0,3,0
""" black bottle & a bad bitch """,1,1.0,0,3,0
""" broke bitch cant tell me nothing """,1,1.0,0,3,0
""" cancel that bitch like nino """,1,1.0,0,3,0
""" cant you see these hoes wont change """,1,1.0,0,3,0
""" fuck no that bitch dont even suck dick "" 😂😂😂 the kermit videos bout to fuck ig up",1,1.0,0,3,0
""" got ya bitch tip toeing on my hardwood floors "" 😂 <url>",1,1.0,0,3,0
""" hoe what its hitting for """,1,1.0,0,3,0
""" i met that pussy on ocean dr . i gave that pussy a pill "" 😌",1,1.0,0,3,0
""" i need a trippy bitch who fuck on hennessy """,1,1.0,0,3,0
""" i spend my money how i want bitch its my business """,1,1.0,0,3,0
""" i txt my old bitch my new bitch pussy wetter """,1,1.0,0,3,0
""" i'd say im back to the old me but my old bitches would get excited "" 😌",1,1.0,0,3,0
""" if you aint bout that murder game pussy nigga shut up """,1,1.0,0,3,0
""" if you're toes ain't done you pussy stinks """,1,1.0,0,3,0
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,1.0,0,3,0
""" is that ya bitch """,1,1.0,0,3,0
""" it aint nothing to cut a bitch off """,1,1.0,0,3,0
""" jus meet son now he ya mane ass bitches "" #shots",1,1.0,0,3,0
""" like snoop said in 94 we dont love these hoes """,1,1.0,0,3,0
""" most hated but the hoes favorite "" #2mw #sevenone # <url>",1,1.0,0,3,0
""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" <url>",1,1.0,0,3,0
""" pimps up pimps up hoes down "" future voice",1,1.0,0,3,0
""" post a picture of that pussy get 200 likes """,1,1.0,0,3,0
""" pussy is a powerful drug "" 😅 #happyhumpday <url>",1,1.0,0,3,0
""" quick piece of pussy call it a drive by """,1,1.0,0,3,0
""" running round here like some brand new pussy thats bout to get fucked """,1,1.0,0,3,0
""" these bitches even worst they'll send them guys for you """,1,1.0,0,3,0
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,1.0,0,3,0
""" you dodge a bullet "" 😅 “<user>: ""all da bitches i cut off pregnant or bound to be ....thank god 🙏""”",1,1.0,0,3,0
""" young pill chamberlain these bitches love my music """,1,1.0,0,3,0
"""😂😂😂😂😂😂😂😂😂😂<user>: gay niggas couldn't wait to act like bitches tonight""",1,1.0,0,3,0
"""😂😂😂<user>: and ima steal his cat n replace it with a pitbull 😂😂😂😂 rt <user>: <user> he a bitch you should do it""",1,1.0,0,3,0
"""& he's gone always be a hoe""",1,1.0,0,3,0
"""...son of a bitch took my tic tacs."" i like this movie.",1,1.0,0,3,0
"""..all i wanna do is get money and fuck model bitches!"" - russell simmons",1,1.0,0,3,0
"""<user>: i'm a fucking fag they said""",1,1.0,0,3,0
"""<user>: females think dating a pussy is cute now? <url> how does doing this stuff make him a pussy?",1,1.0,0,3,0
"""<user>: -simplyaddictedtoguys <url> woof woof hot scally lad",2,1.0,0,0,3
"""<user>: have ya ever asked your bitch for other bitches - kanye voice"" yes",1,1.0,0,3,0
"""<user>: how u gone bring ur side bitch to a game where you know ya gf friends at <mixedpunct> 😩😩😩😩"" i swear <exclaim>",1,1.0,0,3,0
"""<user>: <user> <user> bitch fuck u <url> maybe you'll get better. just <url>",1,1.0,0,3,0
"""<user>: why the eggplant emoji doe?""y he say she looked like scream lmao",2,1.0,0,0,3
"""<user>: hennessey venom gt 🙈 <url> that's one sexy bitch",1,1.0,0,3,0
"""<user>: him seh me pussy wetter then a shower curtain....#ahmesehwetness""<lmao <exclaim>",1,1.0,0,3,0
"""<user>: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit""",1,1.0,0,3,0
"""<user>: 😂😂😂😂 i ain't shit ."" damn skippy lol",1,1.0,0,3,0
"""<user>: <user> <url> 0 rings 0 mvps 0 bitches lol",1,1.0,0,3,0
"""<user>: 💯💯💯 rt <user> bitches be wanting to act like niggas so bad 😩😩😩 that shit aint cuteeeee"" but niggas act like bitches..",1,1.0,0,3,0
"""<user>: get worshiping bitch! <url> woof woof",1,1.0,0,3,0
"""<user>: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,1.0,0,3,0
"""<user>: <user> faggot read my tweets after dat k"" it wasn't even funny lol",1,1.0,0,3,0
"""<user>: this bitch was so ungrateful <url> fr ..... lulwhore",1,1.0,0,3,0
"""<user>: i been kidnapped yo bitch""",1,1.0,0,3,0
"""<user>: <user> alsarabsss"" hes a beaner smh you can tell hes a mexican",0,1.0,3,0,0
"""<user>: what would y'all lil ugly bald headed bitches do if they stop making make-up & weave?""",1,1.0,0,3,0
"""<user>: going back to school sucks more dick than the hoes who attend it.""",1,1.0,0,3,0
"""<user>: on my way to fuck yo bitch <url> me as a 9 year old",1,1.0,0,3,0
"""<user>: <user> how come you never bring me food"" i dont have a car retard",1,1.0,0,3,0
"""<user>: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople",1,1.0,0,3,0
"""<user>: lmaooooooooooo this nigga <user> <url> <bitch want likes for some depressing shit..foh",1,1.0,0,3,0
"""<user>: <user> girl you know i was spitting that g shit to you & you was going lbvs""bitch plz",1,1.0,0,3,0
"""<user>: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again",1,1.0,0,3,0
"""<user>: amen miley 🙏 <url> but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,1.0,0,3,0
"""<user>: having one loyal female is wayyyyy better than having hoes , idc 💯""",1,1.0,0,3,0
"""<user>: pussy licking pussy.... meow meow #stopwhitepeople2014 🐱 <url> 😕",1,1.0,0,3,0
"""<user>: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands",1,1.0,0,3,0
"""<user>: what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,1.0,0,3,0
"""<user>: <user> im the bitch okay nudes pat 😪😏🐸"" wow",1,1.0,0,3,0
"""<user>: <user> you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway <url>",0,1.0,3,0,0
"""<user>: the fuck be wrong with these bitches?"" nobody knows",1,1.0,0,3,0
"""<user>: yall shut up:p"" make me bitch",1,1.0,0,3,0
"""<user>: got bitches in the dm but i don't ever read'em"" which is y your top 3",1,1.0,0,3,0
"""<user>: baseball season for the win. #yankees"" this is where the love started",2,1.0,0,0,3
"""<user>: little stupid as bitch i don't fuck with yoooooouuuu..""",1,1.0,0,3,0
"""<user>: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol",1,1.0,0,3,0
"""<user>: i'm an early bird and i'm a night owl, so i'm wise and have worms.""",2,1.0,0,0,3
"""<user>: pit bulls photographed as lovely fairy tale creatures <url> they *are* fairy tale creatures.",2,1.0,0,0,3
"""<user>: <user> aw."" ...fag, don't tweet ""aw"" to me lol",1,1.0,0,3,0
"""<user>: as long as the lakers trash from now on, i could careless. and that's real."". cc: <user> hahaha",2,1.0,0,0,3
"""<user>: <user> i didn't say anything tho"" kiss me then faggot",1,1.0,0,3,0
"""<user>: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url> 😂 yup",2,1.0,0,0,3
"""<user>: i could go for a fat ass bitch on my lap"" same",1,1.0,0,3,0
"""<user>: 17 missed calls <exclaim> 😠😡""das yo p.o bitch twitter finna be screamn #freemoneymelle",1,1.0,0,3,0
"""<user>: “<user>: 3 | amo los pies <url> fuck yeah",1,1.0,0,3,0
"""<user>: these hoes be thinking meat won't slap they ass 😴👋"" ainna bruh",1,1.0,0,3,0
"""<user>: yall bitches wit no edges be doing the most talking 😩😴✋""😂😂😂",1,1.0,0,3,0
"""<user>: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,1.0,0,3,0
"""<user>: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck",1,1.0,0,3,0
"""<user>: you a woulda coulda shoulda ass hoe 😳🙊""",1,1.0,0,3,0
"""<user>: happy bday bitch ass nigga <user>""preciate that bitch roll up!",1,1.0,0,3,0
"""<user>: <user> <user> used to send that bitch up""",1,1.0,0,3,0
"""<user>: being single isn't an excuse to be a hoe."" <user>",1,1.0,0,3,0
"""<user>: lets get drunk, get blowed, spit shit spark blunts & fuck hoes!"" bro white dudes have no chill.",1,1.0,0,3,0
"""<user>: <user> bitch where u been"" around the world and back. where you been?",1,1.0,0,3,0
"""<user>: <user> if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off 😂😂😂😂"" *by <user> *",1,1.0,0,3,0
"""<user>: in every cartoon theirs alway a <user> saving these hoes lmao. <url> lmao damn captain saveahoe",1,1.0,0,3,0
"""<user>: i wish i was a bitch like my brother keezy 😒"" ooooow i bet you do",1,1.0,0,3,0
"""<user>: stop being scared to choke her during sex u bitch ass niggas. she’ll like it."". says the guy who hits women out of bed. foh",1,1.0,0,3,0
"""<user>: <user> ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,1.0,0,3,0
"""<user>: you're not a man if you refer to every girl as a bitch""",1,1.0,0,3,0
"""<user>: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy <mixedpunct> ? my nigga <exclaim>",1,1.0,0,3,0
"""<user>: <user> naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!",1,1.0,0,3,0
"""<user>: ol dirty foot ass bitches.."" this was too funny to me.",1,1.0,0,3,0
"""<user>: <user> that's where i get my yellow flags for being amazing 👏😌"" hell yeah niggy",1,1.0,0,3,0
"""<user>: don't got time for bitches to be actin iffy.""",1,1.0,0,3,0
"""<user> #ucfpinkparty come on stay alive knights nation <exclaim> "" this is still the early bird special. #comeatmeut",2,1.0,0,0,3
"""<user>: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!",1,1.0,0,3,0
"""<user>: dry pussy bitches always blame it on the condom😂""👏😂👏😂",1,1.0,0,3,0
"""<user>: shut yo bitch ass up! <url> 😭😂",1,1.0,0,3,0
"""<user>: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,1.0,0,3,0
"""<user>: you love these hoes more then money wats wrong these niggas""",1,1.0,0,3,0
"""<user>: easy cum, easy hoe"" that's a fact !",1,1.0,0,3,0
"""<user>: charlie sheen is too real <url> major fucking respect for charlie sheen.",1,1.0,0,3,0
"""<user>: wish i had a bae 😕"" you got all the hoes tho",1,1.0,0,3,0
"""<user>: fuck twerking bitch can you cook ?""",1,1.0,0,3,0
"""<user>: <user> bitch wtf"" <url>",1,1.0,0,3,0
